Health District,Lab Report Date,Number of PCR Testing Encounters,Number of Positive PCR Testing Encounters,Percentage of +ve PCR tests,Percentage of total tests given were PCR tests,Total Number of Positive Testing Encounters,Total Number of Testing Encounters
Piedmont,4/23/2020,51,4,7.843137255,96.226415094,4,53
Pittsylvania-Danville,4/23/2020,19,2,10.526315789,100,2,19
Portsmouth,4/23/2020,43,4,9.302325581,100,4,43
Prince William,4/23/2020,350,123,35.142857143,87.064676617,133,402
Rappahannock,4/23/2020,151,18,11.920529801,93.788819876,18,161
Rappahannock Rapidan,4/23/2020,71,11,15.492957746,91.025641026,11,78
Richmond,4/23/2020,154,18,11.688311688,93.333333333,18,165
Roanoke,4/23/2020,63,4,6.349206349,92.647058824,4,68
Southside,4/23/2020,47,6,12.765957447,100,6,47
Thomas Jefferson,4/23/2020,52,1,1.923076923,81.25,1,64
Three Rivers,4/23/2020,117,14,11.965811966,98.319327731,14,119
Unknown,4/23/2020,11,2,18.181818182,100,2,11
Virginia Beach,4/23/2020,192,12,6.25,98.969072165,12,194
West Piedmont,4/23/2020,14,2,14.285714286,93.333333333,2,15
Western Tidewater,4/23/2020,71,11,15.492957746,98.611111111,11,72
Alexandria,4/24/2020,113,40,35.398230088,85.606060606,42,132
Alleghany,4/24/2020,170,9,5.294117647,100,9,170
Arlington,4/24/2020,112,40,35.714285714,83.582089552,42,134
Central Shenandoah,4/24/2020,70,19,27.142857143,95.890410959,19,73
Central Virginia,4/24/2020,70,4,5.714285714,92.105263158,4,76
Chesapeake,4/24/2020,100,15,15,94.339622642,15,106
Chesterfield,4/24/2020,295,45,15.254237288,87.020648968,45,339
Chickahominy,4/24/2020,91,7,7.692307692,75.833333333,7,120
Crater,4/24/2020,109,15,13.761467890,99.090909091,15,110
Cumberland Plateau,4/24/2020,74,1,1.351351351,100,1,74
Eastern Shore,4/24/2020,74,43,58.108108108,100,43,74
Fairfax,4/24/2020,651,229,35.176651306,88.211382114,234,738
Hampton,4/24/2020,156,1,0.641025641,100,1,156
Henrico,4/24/2020,256,36,14.0625,71.309192201,36,359
Lenowisco,4/24/2020,39,1,2.564102564,100,1,39
Lord Fairfax,4/24/2020,136,21,15.441176471,97.142857143,21,140
Loudoun,4/24/2020,141,39,27.659574468,62.946428571,42,224
Mount Rogers,4/24/2020,52,3,5.769230769,96.296296296,3,54
New River,4/24/2020,110,2,1.818181818,90.163934426,2,122
Norfolk,4/24/2020,250,23,9.2,100,23,250
Out of State,4/24/2020,78,11,14.102564103,100,11,78
Peninsula,4/24/2020,169,13,7.692307692,95.480225989,14,177
Piedmont,4/24/2020,58,10,17.241379310,90.625,10,64
Pittsylvania-Danville,4/24/2020,31,1,3.225806452,96.875,1,32
Portsmouth,4/24/2020,74,6,8.108108108,100,6,74
Prince William,4/24/2020,348,109,31.321839080,92.553191489,111,376
Rappahannock,4/24/2020,144,20,13.888888889,88.888888889,20,162
Rappahannock Rapidan,4/24/2020,59,10,16.949152542,88.059701493,11,67
Richmond,4/24/2020,152,16,10.526315789,87.861271676,16,173
Roanoke,4/24/2020,67,7,10.447761194,95.714285714,7,70
Southside,4/24/2020,58,12,20.689655172,100,12,58
Thomas Jefferson,4/24/2020,48,2,4.166666667,73.846153846,2,65
Three Rivers,4/24/2020,88,4,4.545454545,89.795918367,4,98
Unknown,4/24/2020,11,3,27.272727273,100,3,11
Virginia Beach,4/24/2020,154,8,5.194805195,100,8,154
West Piedmont,4/24/2020,33,5,15.151515152,100,5,33
Western Tidewater,4/24/2020,75,20,26.666666667,100,20,75
Alexandria,4/25/2020,96,29,30.208333333,84.210526316,29,114
Alleghany,4/25/2020,114,8,7.017543860,99.130434783,8,115
Arlington,4/25/2020,116,36,31.034482759,82.269503546,38,141
Central Shenandoah,4/25/2020,75,22,29.333333333,96.153846154,22,78
Central Virginia,4/25/2020,85,7,8.235294118,96.590909091,7,88
Chesapeake,4/25/2020,86,11,12.790697674,98.850574713,11,87
Chesterfield,4/25/2020,199,17,8.542713568,88.839285714,18,224
Chickahominy,4/25/2020,61,7,11.475409836,72.619047619,7,84
Crater,4/25/2020,113,12,10.619469027,98.260869565,13,115
Cumberland Plateau,4/25/2020,38,2,5.263157895,100,2,38
Eastern Shore,4/25/2020,95,45,47.368421053,100,45,95
Fairfax,4/25/2020,543,169,31.123388582,87.580645161,173,620
Hampton,4/25/2020,40,3,7.5,97.560975610,3,41
Henrico,4/25/2020,167,32,19.161676647,72.294372294,32,231
Lenowisco,4/25/2020,53,1,1.886792453,100,1,53
Lord Fairfax,4/25/2020,65,5,7.692307692,92.857142857,5,70
Loudoun,4/25/2020,202,38,18.811881188,67.558528428,39,299
Mount Rogers,4/25/2020,45,4,8.888888889,97.826086957,4,46
New River,4/25/2020,22,2,9.090909091,62.857142857,2,35
Norfolk,4/25/2020,222,3,1.351351351,97.797356828,3,227
Out of State,4/25/2020,77,10,12.987012987,97.468354430,11,79
Peninsula,4/25/2020,117,9,7.692307692,83.571428571,12,140
Piedmont,4/25/2020,49,8,16.326530612,90.740740741,8,54
Pittsylvania-Danville,4/25/2020,9,2,22.222222222,100,2,9
Portsmouth,4/25/2020,84,7,8.333333333,100,7,84
Prince William,4/25/2020,346,123,35.549132948,88.265306122,130,392
Rappahannock,4/25/2020,170,22,12.941176471,90.909090909,23,187
Rappahannock Rapidan,4/25/2020,86,17,19.767441860,96.629213483,17,89
Richmond,4/25/2020,78,15,19.230769231,87.640449438,16,89
Roanoke,4/25/2020,66,9,13.636363636,84.615384615,9,78
Southside,4/25/2020,73,13,17.808219178,76.842105263,21,95
Thomas Jefferson,4/25/2020,52,2,3.846153846,89.655172414,2,58
Three Rivers,4/25/2020,171,57,33.333333333,100,57,171
Unknown,4/25/2020,9,3,33.333333333,100,3,9
Virginia Beach,4/25/2020,172,13,7.558139535,95.027624309,14,181
West Piedmont,4/25/2020,20,2,10,100,2,20
Western Tidewater,4/25/2020,72,9,12.5,98.630136986,9,73
Alexandria,4/26/2020,96,35,36.458333333,89.719626168,37,107
Alleghany,4/26/2020,43,1,2.325581395,100,1,43
Arlington,4/26/2020,94,33,35.106382979,79.661016949,40,118
Central Shenandoah,4/26/2020,62,26,41.935483871,100,26,62
Central Virginia,4/26/2020,73,5,6.849315068,98.648648649,5,74
Chesapeake,4/26/2020,52,4,7.692307692,98.113207547,4,53
Chesterfield,4/26/2020,186,22,11.827956989,95.876288660,22,194
Chickahominy,4/26/2020,84,5,5.952380952,77.777777778,5,108
Crater,4/26/2020,94,14,14.893617021,98.947368421,14,95
Cumberland Plateau,4/26/2020,76,2,2.631578947,100,2,76
Eastern Shore,4/26/2020,85,35,41.176470588,100,35,85
Fairfax,4/26/2020,549,231,42.076502732,94.655172414,233,580
Hampton,4/26/2020,39,1,2.564102564,100,1,39
Henrico,4/26/2020,218,25,11.467889908,77.580071174,26,281
Lenowisco,4/26/2020,54,4,7.407407407,100,4,54
Lord Fairfax,4/26/2020,126,22,17.460317460,99.212598425,22,127
Loudoun,4/26/2020,151,69,45.695364238,92.073170732,71,164
Mount Rogers,4/26/2020,45,9,20,97.826086957,9,46
New River,4/26/2020,69,1,1.449275362,100,1,69
Norfolk,4/26/2020,88,4,4.545454545,100,4,88
Out of State,4/26/2020,90,2,2.222222222,100,2,90
Peninsula,4/26/2020,137,13,9.489051095,90.131578947,15,152
Piedmont,4/26/2020,69,11,15.942028986,100,11,69
Pittsylvania-Danville,4/26/2020,23,1,4.347826087,100,1,23
Portsmouth,4/26/2020,119,35,29.411764706,100,35,119
Prince William,4/26/2020,296,106,35.810810811,97.049180328,107,305
Rappahannock,4/26/2020,158,15,9.493670886,95.757575758,15,165
Rappahannock Rapidan,4/26/2020,104,22,21.153846154,97.196261682,22,107
Richmond,4/26/2020,108,10,9.259259259,93.913043478,11,115
Roanoke,4/26/2020,44,2,4.545454545,95.652173913,2,46
Southside,4/26/2020,19,2,10.526315789,100,2,19
Thomas Jefferson,4/26/2020,41,0,0,100,0,41
Three Rivers,4/26/2020,48,5,10.416666667,97.959183673,5,49
Unknown,4/26/2020,4,2,50,100,2,4
Virginia Beach,4/26/2020,128,2,1.5625,98.461538462,2,130
West Piedmont,4/26/2020,20,4,20,100,4,20
Western Tidewater,4/26/2020,55,14,25.454545455,98.214285714,14,56
Alexandria,4/27/2020,80,23,28.75,88.888888889,23,90
Alleghany,4/27/2020,40,6,15,100,6,40
Arlington,4/27/2020,97,33,34.020618557,80.833333333,35,120
Central Shenandoah,4/27/2020,53,16,30.188679245,98.148148148,16,54
Central Virginia,4/27/2020,23,1,4.347826087,100,1,23
Chesapeake,4/27/2020,68,0,0,100,0,68
Chesterfield,4/27/2020,235,16,6.808510638,83.928571429,16,280
Chickahominy,4/27/2020,68,5,7.352941176,56.198347107,5,121
Crater,4/27/2020,96,10,10.416666667,91.428571429,10,105
Cumberland Plateau,4/27/2020,6,1,16.666666667,100,1,6
Eastern Shore,4/27/2020,45,24,53.333333333,100,24,45
Fairfax,4/27/2020,521,158,30.326295585,91.564147627,164,569
Hampton,4/27/2020,24,1,4.166666667,100,1,24
Henrico,4/27/2020,167,23,13.772455090,59.219858156,24,282
Lenowisco,4/27/2020,8,1,12.5,100,1,8
Lord Fairfax,4/27/2020,56,12,21.428571429,63.636363636,12,88
Loudoun,4/27/2020,117,27,23.076923077,90.697674419,28,129
Mount Rogers,4/27/2020,16,1,6.25,100,1,16
New River,4/27/2020,41,1,2.439024390,100,1,41
Norfolk,4/27/2020,221,8,3.619909502,100,8,221
Out of State,4/27/2020,85,9,10.588235294,98.837209302,9,86
Peninsula,4/27/2020,86,5,5.813953488,89.583333333,5,96
Piedmont,4/27/2020,32,5,15.625,96.969696970,5,33
Pittsylvania-Danville,4/27/2020,10,1,10,100,1,10
Portsmouth,4/27/2020,20,4,20,100,4,20
Prince William,4/27/2020,348,107,30.747126437,97.206703911,108,358
Rappahannock,4/27/2020,108,24,22.222222222,95.575221239,24,113
Rappahannock Rapidan,4/27/2020,33,8,24.242424242,100,8,33
Richmond,4/27/2020,103,10,9.708737864,87.288135593,10,118
Roanoke,4/27/2020,74,27,36.486486486,100,27,74
Southside,4/27/2020,26,2,7.692307692,100,2,26
Thomas Jefferson,4/27/2020,46,0,0,92,0,50
Three Rivers,4/27/2020,52,3,5.769230769,91.228070175,3,57
Unknown,4/27/2020,31,8,25.806451613,100,8,31
Virginia Beach,4/27/2020,247,8,3.238866397,99.196787149,9,249
West Piedmont,4/27/2020,17,4,23.529411765,100,4,17
Western Tidewater,4/27/2020,42,8,19.047619048,100,8,42
Alexandria,4/28/2020,105,29,27.619047619,80.152671756,31,131
Alleghany,4/28/2020,50,9,18,89.285714286,9,56
Arlington,4/28/2020,119,41,34.453781513,74.375,43,160
Central Shenandoah,4/28/2020,60,9,15,93.75,9,64
Central Virginia,4/28/2020,43,3,6.976744186,93.478260870,3,46
Chesapeake,4/28/2020,138,17,12.318840580,98.571428571,17,140
Chesterfield,4/28/2020,244,32,13.114754098,87.455197133,33,279
Chickahominy,4/28/2020,118,11,9.322033898,74.683544304,11,158
Crater,4/28/2020,106,11,10.377358491,96.363636364,11,110
Cumberland Plateau,4/28/2020,16,1,6.25,100,1,16
Eastern Shore,4/28/2020,54,28,51.851851852,100,28,54
Fairfax,4/28/2020,635,208,32.755905512,78.298397041,213,811
Hampton,4/28/2020,56,5,8.928571429,100,5,56
Henrico,4/28/2020,222,26,11.711711712,70.031545741,27,317
Lenowisco,4/28/2020,16,1,6.25,94.117647059,1,17
Lord Fairfax,4/28/2020,144,32,22.222222222,87.804878049,32,164
Loudoun,4/28/2020,202,49,24.257425743,64.951768489,57,311
Mount Rogers,4/28/2020,31,7,22.580645161,91.176470588,7,34
New River,4/28/2020,32,2,6.25,76.190476190,2,42
Norfolk,4/28/2020,243,5,2.057613169,99.183673469,5,245
Out of State,4/28/2020,130,15,11.538461538,100,15,130
Peninsula,4/28/2020,100,8,8,74.626865672,10,134
Piedmont,4/28/2020,28,4,14.285714286,96.551724138,4,29
Pittsylvania-Danville,4/28/2020,13,4,30.769230769,100,4,13
Portsmouth,4/28/2020,54,10,18.518518519,100,10,54
Prince William,4/28/2020,315,117,37.142857143,80.769230769,123,390
Rappahannock,4/28/2020,53,13,24.528301887,74.647887324,15,71
Rappahannock Rapidan,4/28/2020,45,12,26.666666667,76.271186441,13,59
Richmond,4/28/2020,152,19,12.5,92.682926829,20,164
Roanoke,4/28/2020,122,23,18.852459016,93.846153846,23,130
Southside,4/28/2020,20,2,10,95.238095238,2,21
Thomas Jefferson,4/28/2020,57,6,10.526315789,91.935483871,6,62
Three Rivers,4/28/2020,53,5,9.433962264,92.982456140,5,57
Unknown,4/28/2020,65,9,13.846153846,98.484848485,9,66
Virginia Beach,4/28/2020,253,10,3.952569170,96.934865900,13,261
West Piedmont,4/28/2020,5,0,0,62.5,0,8
Western Tidewater,4/28/2020,58,8,13.793103448,98.305084746,8,59
Alexandria,4/29/2020,158,49,31.012658228,85.405405405,53,185
Alleghany,4/29/2020,119,12,10.084033613,95.967741935,12,124
Arlington,4/29/2020,162,51,31.481481481,77.511961722,54,209
Central Shenandoah,4/29/2020,127,34,26.771653543,94.776119403,35,134
Central Virginia,4/29/2020,98,9,9.183673469,89.908256881,10,109
Chesapeake,4/29/2020,157,28,17.834394904,95.151515152,28,165
Chesterfield,4/29/2020,392,43,10.969387755,79.674796748,47,492
Chickahominy,4/29/2020,172,12,6.976744186,75.109170306,12,229
Crater,4/29/2020,171,28,16.374269006,95.530726257,28,179
Cumberland Plateau,4/29/2020,24,1,4.166666667,80,1,30
Eastern Shore,4/29/2020,133,65,48.872180451,100,65,133
Fairfax,4/29/2020,826,300,36.319612591,81.701285856,307,1011
Hampton,4/29/2020,73,5,6.849315068,94.805194805,5,77
Henrico,4/29/2020,475,31,6.526315789,81.896551724,31,580
Lenowisco,4/29/2020,30,0,0,85.714285714,0,35
Lord Fairfax,4/29/2020,184,39,21.195652174,95.833333333,39,192
Loudoun,4/29/2020,412,59,14.320388350,84.773662551,61,486
Mount Rogers,4/29/2020,66,6,9.090909091,88,6,75
New River,4/29/2020,33,1,3.030303030,66,1,50
Norfolk,4/29/2020,240,9,3.75,95.238095238,10,252
Out of State,4/29/2020,135,15,11.111111111,100,15,135
Peninsula,4/29/2020,198,17,8.585858586,75,17,264
Piedmont,4/29/2020,85,8,9.411764706,92.391304348,9,92
Pittsylvania-Danville,4/29/2020,22,4,18.181818182,88,4,25
Portsmouth,4/29/2020,81,13,16.049382716,93.103448276,13,87
Prince William,4/29/2020,484,198,40.909090909,87.522603978,201,553
Rappahannock,4/29/2020,271,35,12.915129151,90.033222591,36,301
Rappahannock Rapidan,4/29/2020,148,27,18.243243243,87.058823529,27,170
Richmond,4/29/2020,225,31,13.777777778,88.932806324,31,253
Roanoke,4/29/2020,76,5,6.578947368,89.411764706,5,85
Southside,4/29/2020,51,5,9.803921569,100,5,51
Thomas Jefferson,4/29/2020,171,34,19.883040936,83.414634146,34,205
Three Rivers,4/29/2020,124,11,8.870967742,93.939393939,11,132
Unknown,4/29/2020,72,5,6.944444444,100,5,72
Virginia Beach,4/29/2020,307,21,6.840390879,93.030303030,23,330
West Piedmont,4/29/2020,32,0,0,80,0,40
Western Tidewater,4/29/2020,151,23,15.231788079,94.375,23,160
Alexandria,4/30/2020,140,44,31.428571429,76.086956522,50,184
Alleghany,4/30/2020,53,1,1.886792453,80.303030303,2,66
Arlington,4/30/2020,141,34,24.113475177,61.572052402,45,229
Central Shenandoah,4/30/2020,120,35,29.166666667,92.307692308,37,130
Central Virginia,4/30/2020,121,3,2.479338843,97.580645161,4,124
Chesapeake,4/30/2020,135,17,12.592592593,93.103448276,18,145
Chesterfield,4/30/2020,329,49,14.893617021,66.197183099,54,497
Chickahominy,4/30/2020,134,13,9.701492537,70.526315789,15,190
Crater,4/30/2020,184,19,10.326086957,92.929292929,19,198
Cumberland Plateau,4/30/2020,33,1,3.030303030,94.285714286,1,35
Eastern Shore,4/30/2020,144,69,47.916666667,100,69,144
Fairfax,4/30/2020,626,192,30.670926518,67.456896552,211,928
Hampton,4/30/2020,64,6,9.375,88.888888889,7,72
Henrico,4/30/2020,397,28,7.052896725,73.518518519,31,540
Lenowisco,4/30/2020,41,3,7.317073171,97.619047619,3,42
Lord Fairfax,4/30/2020,133,28,21.052631579,85.256410256,30,156
Loudoun,4/30/2020,161,31,19.254658385,62.162162162,34,259
Mount Rogers,4/30/2020,104,9,8.653846154,82.539682540,10,126
New River,4/30/2020,44,1,2.272727273,75.862068966,1,58
Norfolk,4/30/2020,236,7,2.966101695,93.650793651,9,252
Out of State,4/30/2020,139,13,9.352517986,99.285714286,13,140
Peninsula,4/30/2020,207,14,6.763285024,74.193548387,22,279
Piedmont,4/30/2020,63,5,7.936507937,87.5,5,72
Pittsylvania-Danville,4/30/2020,20,3,15,90.909090909,3,22
Portsmouth,4/30/2020,57,12,21.052631579,95,12,60
Prince William,4/30/2020,414,136,32.850241546,81.335952849,142,509
Rappahannock,4/30/2020,195,26,13.333333333,81.932773109,27,238
Rappahannock Rapidan,4/30/2020,103,23,22.330097087,75.735294118,28,136
Richmond,4/30/2020,156,27,17.307692308,72.897196262,28,214
Roanoke,4/30/2020,89,6,6.741573034,88.118811881,6,101
Southside,4/30/2020,35,1,2.857142857,92.105263158,1,38
Thomas Jefferson,4/30/2020,134,5,3.731343284,87.581699346,5,153
Three Rivers,4/30/2020,83,9,10.843373494,77.570093458,10,107
Unknown,4/30/2020,40,3,7.5,97.560975610,3,41
Virginia Beach,4/30/2020,260,13,5,88.435374150,16,294
West Piedmont,4/30/2020,18,2,11.111111111,58.064516129,2,31
Western Tidewater,4/30/2020,135,11,8.148148148,93.103448276,11,145
Alexandria,5/1/2020,154,58,37.662337662,75.862068966,64,203
Alleghany,5/1/2020,89,2,2.247191011,92.708333333,2,96
Arlington,5/1/2020,159,47,29.559748428,73.611111111,52,216
Central Shenandoah,5/1/2020,104,16,15.384615385,86.666666667,17,120
Central Virginia,5/1/2020,121,10,8.264462810,89.629629630,11,135
Chesapeake,5/1/2020,191,21,10.994764398,91.826923077,21,208
Chesterfield,5/1/2020,290,28,9.655172414,73.417721519,31,395
Chickahominy,5/1/2020,115,7,6.086956522,73.248407643,7,157
Crater,5/1/2020,229,41,17.903930131,96.624472574,41,237
Cumberland Plateau,5/1/2020,43,1,2.325581395,95.555555556,2,45
Eastern Shore,5/1/2020,311,106,34.083601286,100,106,311
Fairfax,5/1/2020,944,312,33.050847458,80.477408355,332,1173
Hampton,5/1/2020,76,8,10.526315789,96.202531646,9,79
Henrico,5/1/2020,321,34,10.591900312,69.480519481,34,462
Lenowisco,5/1/2020,41,1,2.439024390,87.234042553,1,47
Lord Fairfax,5/1/2020,133,24,18.045112782,93.661971831,25,142
Loudoun,5/1/2020,185,50,27.027027027,66.546762590,55,278
Mount Rogers,5/1/2020,157,21,13.375796178,91.812865497,21,171
New River,5/1/2020,97,0,0,87.387387387,0,111
Norfolk,5/1/2020,478,16,3.347280335,93.177387914,17,513
Out of State,5/1/2020,163,19,11.656441718,98.787878788,19,165
Peninsula,5/1/2020,145,10,6.896551724,68.075117371,16,213
Piedmont,5/1/2020,61,3,4.918032787,83.561643836,6,73
Pittsylvania-Danville,5/1/2020,27,2,7.407407407,90,3,30
Portsmouth,5/1/2020,87,9,10.344827586,95.604395604,9,91
Prince William,5/1/2020,509,167,32.809430255,85.690235690,174,594
Rappahannock,5/1/2020,209,28,13.397129187,82.283464567,29,254
Rappahannock Rapidan,5/1/2020,131,21,16.030534351,88.513513514,23,148
Richmond,5/1/2020,217,33,15.207373272,81.273408240,34,267
Roanoke,5/1/2020,97,11,11.340206186,94.174757282,12,103
Southside,5/1/2020,36,6,16.666666667,80,6,45
Thomas Jefferson,5/1/2020,136,5,3.676470588,76.836158192,8,177
Three Rivers,5/1/2020,119,9,7.563025210,86.231884058,11,138
Unknown,5/1/2020,85,14,16.470588235,98.837209302,14,86
Virginia Beach,5/1/2020,283,9,3.180212014,83.976261128,12,337
West Piedmont,5/1/2020,34,5,14.705882353,94.444444444,5,36
Western Tidewater,5/1/2020,91,8,8.791208791,91.919191919,9,99
Alexandria,5/2/2020,112,42,37.5,74.666666667,45,150
Alleghany,5/2/2020,64,6,9.375,96.969696970,6,66
Arlington,5/2/2020,212,72,33.962264151,71.864406780,77,295
Central Shenandoah,5/2/2020,106,25,23.584905660,91.379310345,25,116
Central Virginia,5/2/2020,94,5,5.319148936,91.262135922,5,103
Chesapeake,5/2/2020,90,5,5.555555556,84.112149533,5,107
Chesterfield,5/2/2020,268,18,6.716417910,71.849865952,22,373
Chickahominy,5/2/2020,99,6,6.060606061,77.952755906,7,127
Crater,5/2/2020,122,17,13.934426230,91.044776119,17,134
Cumberland Plateau,5/2/2020,31,0,0,83.783783784,0,37
Eastern Shore,5/2/2020,121,44,36.363636364,98.373983740,44,123
Fairfax,5/2/2020,856,255,29.789719626,72.975277067,284,1173
Hampton,5/2/2020,53,3,5.660377358,88.333333333,3,60
Henrico,5/2/2020,266,28,10.526315789,76.436781609,28,348
Lenowisco,5/2/2020,38,3,7.894736842,92.682926829,3,41
Lord Fairfax,5/2/2020,223,34,15.246636771,93.305439331,34,239
Loudoun,5/2/2020,208,63,30.288461538,63.608562691,66,327
Mount Rogers,5/2/2020,70,7,10,90.909090909,7,77
New River,5/2/2020,89,1,1.123595506,89,1,100
Norfolk,5/2/2020,551,25,4.537205082,95.493934142,27,577
Out of State,5/2/2020,81,21,25.925925926,100,21,81
Peninsula,5/2/2020,262,7,2.671755725,75.504322767,11,347
Piedmont,5/2/2020,83,8,9.638554217,86.458333333,8,96
Pittsylvania-Danville,5/2/2020,22,0,0,95.652173913,1,23
Portsmouth,5/2/2020,121,11,9.090909091,98.373983740,11,123
Prince William,5/2/2020,406,134,33.004926108,81.526104418,137,498
Rappahannock,5/2/2020,190,25,13.157894737,79.166666667,26,240
Rappahannock Rapidan,5/2/2020,94,20,21.276595745,81.739130435,21,115
Richmond,5/2/2020,129,15,11.627906977,73.714285714,16,175
Roanoke,5/2/2020,92,8,8.695652174,91.089108911,9,101
Southside,5/2/2020,44,3,6.818181818,84.615384615,3,52
Thomas Jefferson,5/2/2020,290,11,3.793103448,90.909090909,13,319
Three Rivers,5/2/2020,112,12,10.714285714,84.848484848,12,132
Unknown,5/2/2020,18,5,27.777777778,94.736842105,5,19
Virginia Beach,5/2/2020,189,8,4.232804233,70.786516854,14,267
West Piedmont,5/2/2020,22,1,4.545454545,88,1,25
Western Tidewater,5/2/2020,84,11,13.095238095,80.769230769,11,104
Alexandria,5/3/2020,164,62,37.804878049,88.648648649,64,185
Alleghany,5/3/2020,62,8,12.903225806,100,8,62
Arlington,5/3/2020,101,30,29.702970297,78.90625,33,128
Central Shenandoah,5/3/2020,135,29,21.481481481,97.122302158,29,139
Central Virginia,5/3/2020,121,2,1.652892562,98.373983740,2,123
Chesapeake,5/3/2020,76,9,11.842105263,90.476190476,9,84
Chesterfield,5/3/2020,299,44,14.715719064,91.437308869,46,327
Chickahominy,5/3/2020,117,1,0.854700855,90.697674419,1,129
Crater,5/3/2020,100,17,17,94.339622642,17,106
Cumberland Plateau,5/3/2020,20,0,0,86.956521739,0,23
Eastern Shore,5/3/2020,78,30,38.461538462,98.734177215,30,79
Fairfax,5/3/2020,845,289,34.201183432,89.989350373,298,939
Hampton,5/3/2020,43,7,16.279069767,81.132075472,8,53
Henrico,5/3/2020,235,20,8.510638298,91.796875,20,256
Lenowisco,5/3/2020,26,0,0,89.655172414,0,29
Lord Fairfax,5/3/2020,133,29,21.804511278,99.253731343,29,134
Loudoun,5/3/2020,179,40,22.346368715,81.363636364,43,220
Mount Rogers,5/3/2020,50,3,6,98.039215686,3,51
New River,5/3/2020,28,1,3.571428571,93.333333333,1,30
Norfolk,5/3/2020,149,14,9.395973154,79.679144385,15,187
Out of State,5/3/2020,93,13,13.978494624,97.894736842,13,95
Peninsula,5/3/2020,139,9,6.474820144,62.053571429,12,224
Piedmont,5/3/2020,72,6,8.333333333,93.506493506,6,77
Pittsylvania-Danville,5/3/2020,32,1,3.125,100,1,32
Portsmouth,5/3/2020,56,5,8.928571429,98.245614035,5,57
Prince William,5/3/2020,421,146,34.679334917,91.521739130,151,460
Rappahannock,5/3/2020,204,31,15.196078431,88.311688312,31,231
Rappahannock Rapidan,5/3/2020,120,25,20.833333333,89.552238806,25,134
Richmond,5/3/2020,132,26,19.696969697,92.307692308,26,143
Roanoke,5/3/2020,62,5,8.064516129,92.537313433,6,67
Southside,5/3/2020,19,0,0,90.476190476,0,21
Thomas Jefferson,5/3/2020,98,10,10.204081633,88.288288288,10,111
Three Rivers,5/3/2020,108,18,16.666666667,90,18,120
Unknown,5/3/2020,28,0,0,100,0,28
Virginia Beach,5/3/2020,175,5,2.857142857,78.125,10,224
West Piedmont,5/3/2020,41,0,0,100,0,41
Western Tidewater,5/3/2020,106,9,8.490566038,98.148148148,9,108
Alexandria,5/4/2020,75,24,32,93.75,24,80
Alleghany,5/4/2020,29,3,10.344827586,100,3,29
Arlington,5/4/2020,80,16,20,95.238095238,16,84
